Date,Time,TempInSitu,AbsPressure,Depth,LoggerID
2022-06-03,12:22:00,27.075,106.136,0.49,WL_876_VSled_20220603
2022-06-03,12:24:00,27.075,106.774,0.555,WL_876_VSled_20220603
2022-06-03,12:26:00,27.075,106.584,0.536,WL_876_VSled_20220603
2022-06-03,12:28:00,27.075,106.36,0.513,WL_876_VSled_20220603
2022-06-03,12:30:00,27.075,106.412,0.518,WL_876_VSled_20220603
2022-06-03,12:32:00,27.075,106.222,0.499,WL_876_VSled_20220603
2022-06-03,12:34:00,27.075,106.067,0.483,WL_876_VSled_20220603
2022-06-03,12:36:00,27.075,106.446,0.522,WL_876_VSled_20220603
2022-06-03,12:38:00,27.075,106.687,0.546,WL_876_VSled_20220603
2022-06-03,12:40:00,27.173,106.656,0.544,WL_876_VSled_20220603
2022-06-03,12:42:00,27.173,105.898,0.466,WL_876_VSled_20220603
2022-06-03,12:44:00,27.075,106.274,0.504,WL_876_VSled_20220603
2022-06-03,12:46:00,27.173,106.587,0.536,WL_876_VSled_20220603
2022-06-03,12:48:00,27.173,106.208,0.498,WL_876_VSled_20220603
2022-06-03,12:50:00,27.272,106.572,0.535,WL_876_VSled_20220603
2022-06-03,12:52:00,27.272,106.296,0.507,WL_876_VSled_20220603
2022-06-03,12:54:00,27.272,106.486,0.526,WL_876_VSled_20220603
2022-06-03,12:56:00,27.272,106.555,0.533,WL_876_VSled_20220603
2022-06-03,12:58:00,27.272,106.951,0.574,WL_876_VSled_20220603
2022-06-03,13:00:00,27.37,106.402,0.518,WL_876_VSled_20220603
2022-06-03,13:02:00,27.272,106.417,0.519,WL_876_VSled_20220603
2022-06-03,13:04:00,27.37,106.42,0.52,WL_876_VSled_20220603
2022-06-03,13:06:00,27.37,106.695,0.548,WL_876_VSled_20220603
2022-06-03,13:08:00,27.37,106.644,0.543,WL_876_VSled_20220603
2022-06-03,13:10:00,27.37,106.368,0.515,WL_876_VSled_20220603
2022-06-03,13:12:00,27.468,106.388,0.517,WL_876_VSled_20220603
2022-06-03,13:14:00,27.37,106.558,0.534,WL_876_VSled_20220603
2022-06-03,13:16:00,27.468,106.422,0.52,WL_876_VSled_20220603
2022-06-03,13:18:00,27.468,106.56,0.535,WL_876_VSled_20220603
2022-06-03,13:20:00,27.468,106.836,0.563,WL_876_VSled_20220603
2022-06-03,13:22:00,27.468,106.422,0.52,WL_876_VSled_20220603
2022-06-03,13:24:00,27.468,106.75,0.554,WL_876_VSled_20220603
2022-06-03,13:26:00,27.567,106.167,0.495,WL_876_VSled_20220603
2022-06-03,13:28:00,27.567,106.339,0.512,WL_876_VSled_20220603
2022-06-03,13:30:00,27.567,106.477,0.526,WL_876_VSled_20220603
2022-06-03,13:32:00,27.567,106.908,0.571,WL_876_VSled_20220603
2022-06-03,13:34:00,27.567,106.339,0.512,WL_876_VSled_20220603
2022-06-03,13:36:00,27.665,105.911,0.469,WL_876_VSled_20220603
2022-06-03,13:38:00,27.665,106.307,0.509,WL_876_VSled_20220603
2022-06-03,13:40:00,27.665,105.911,0.469,WL_876_VSled_20220603
2022-06-03,13:42:00,27.665,106.566,0.536,WL_876_VSled_20220603
2022-06-03,13:44:00,27.665,106.186,0.497,WL_876_VSled_20220603
2022-06-03,13:46:00,27.764,106.43,0.522,WL_876_VSled_20220603
2022-06-03,13:48:00,27.665,106.617,0.541,WL_876_VSled_20220603
2022-06-03,13:50:00,27.665,106.721,0.552,WL_876_VSled_20220603
2022-06-03,13:52:00,27.665,106.273,0.506,WL_876_VSled_20220603
2022-06-03,13:54:00,27.665,106.393,0.518,WL_876_VSled_20220603
2022-06-03,13:56:00,27.665,106.755,0.555,WL_876_VSled_20220603
2022-06-03,13:58:00,27.665,106.738,0.553,WL_876_VSled_20220603
2022-06-03,14:00:00,27.665,106.548,0.534,WL_876_VSled_20220603
2022-06-03,14:02:00,27.665,106.669,0.546,WL_876_VSled_20220603
2022-06-03,14:04:00,27.665,106.41,0.52,WL_876_VSled_20220603
2022-06-03,14:06:00,27.665,105.997,0.478,WL_876_VSled_20220603
2022-06-03,14:08:00,27.665,106.393,0.518,WL_876_VSled_20220603
2022-06-03,14:10:00,27.665,106.221,0.501,WL_876_VSled_20220603
2022-06-03,14:12:00,27.665,105.859,0.463,WL_876_VSled_20220603
2022-06-03,14:14:00,27.665,106.255,0.504,WL_876_VSled_20220603
2022-06-03,14:16:00,27.665,106.307,0.509,WL_876_VSled_20220603
2022-06-03,14:18:00,27.665,106.083,0.486,WL_876_VSled_20220603
2022-06-03,14:20:00,27.665,105.911,0.469,WL_876_VSled_20220603
2022-06-03,14:22:00,27.665,106.376,0.516,WL_876_VSled_20220603
2022-06-03,14:24:00,27.665,106.238,0.502,WL_876_VSled_20220603
2022-06-03,14:26:00,27.665,105.894,0.467,WL_876_VSled_20220603
2022-06-03,14:28:00,27.567,106.029,0.481,WL_876_VSled_20220603
2022-06-03,14:30:00,27.665,106.428,0.522,WL_876_VSled_20220603
2022-06-03,14:32:00,27.665,106.514,0.531,WL_876_VSled_20220603
2022-06-03,14:34:00,27.665,106.066,0.485,WL_876_VSled_20220603
2022-06-03,14:36:00,27.567,106.494,0.528,WL_876_VSled_20220603
2022-06-03,14:38:00,27.665,106.238,0.502,WL_876_VSled_20220603
2022-06-03,14:40:00,27.567,105.925,0.47,WL_876_VSled_20220603
2022-06-03,14:42:00,27.567,106.029,0.481,WL_876_VSled_20220603
2022-06-03,14:44:00,27.567,105.633,0.44,WL_876_VSled_20220603
2022-06-03,14:46:00,27.665,106.221,0.501,WL_876_VSled_20220603
2022-06-03,14:48:00,27.567,106.218,0.5,WL_876_VSled_20220603
2022-06-03,14:50:00,27.665,105.842,0.462,WL_876_VSled_20220603
2022-06-03,14:52:00,27.567,105.874,0.465,WL_876_VSled_20220603
2022-06-03,14:54:00,27.567,106.08,0.486,WL_876_VSled_20220603
2022-06-03,14:56:00,27.567,105.667,0.444,WL_876_VSled_20220603
2022-06-03,14:58:00,27.665,106.083,0.486,WL_876_VSled_20220603
2022-06-03,15:00:00,27.567,105.667,0.444,WL_876_VSled_20220603
2022-06-03,15:02:00,27.567,106.304,0.509,WL_876_VSled_20220603
2022-06-03,15:04:00,27.567,106.046,0.482,WL_876_VSled_20220603
2022-06-03,15:06:00,27.567,106.115,0.489,WL_876_VSled_20220603
2022-06-03,15:08:00,27.665,105.98,0.476,WL_876_VSled_20220603
2022-06-03,15:10:00,27.567,106.098,0.488,WL_876_VSled_20220603
2022-06-03,15:12:00,27.567,106.339,0.512,WL_876_VSled_20220603
2022-06-03,15:14:00,27.567,106.063,0.484,WL_876_VSled_20220603
2022-06-03,15:16:00,27.567,106.373,0.516,WL_876_VSled_20220603
2022-06-03,15:18:00,27.567,106.046,0.482,WL_876_VSled_20220603
2022-06-03,15:20:00,27.567,105.753,0.452,WL_876_VSled_20220603
2022-06-03,15:22:00,27.567,106.356,0.514,WL_876_VSled_20220603
2022-06-03,15:24:00,27.567,106.339,0.512,WL_876_VSled_20220603
2022-06-03,15:26:00,27.567,105.943,0.472,WL_876_VSled_20220603
2022-06-03,15:28:00,27.567,106.046,0.482,WL_876_VSled_20220603
2022-06-03,15:30:00,27.567,106.339,0.512,WL_876_VSled_20220603
2022-06-03,15:32:00,27.567,106.08,0.486,WL_876_VSled_20220603
2022-06-03,15:34:00,27.665,106.186,0.497,WL_876_VSled_20220603
2022-06-03,15:36:00,27.567,106.115,0.489,WL_876_VSled_20220603
2022-06-03,15:38:00,27.567,105.856,0.463,WL_876_VSled_20220603
2022-06-03,15:40:00,27.567,106.098,0.488,WL_876_VSled_20220603
2022-06-03,15:42:00,27.567,105.908,0.468,WL_876_VSled_20220603
2022-06-03,15:44:00,27.567,105.908,0.468,WL_876_VSled_20220603
2022-06-03,15:46:00,27.567,105.615,0.438,WL_876_VSled_20220603
2022-06-03,15:48:00,27.567,105.874,0.465,WL_876_VSled_20220603
2022-06-03,15:50:00,27.567,105.874,0.465,WL_876_VSled_20220603
2022-06-03,15:52:00,27.567,105.495,0.426,WL_876_VSled_20220603
2022-06-03,15:54:00,27.567,105.65,0.442,WL_876_VSled_20220603
2022-06-03,15:56:00,27.567,106.029,0.481,WL_876_VSled_20220603
