Y,Parameter,Reg_Type,AICc,R2,pVal.P,delAICc
resFEp,Salinity,Polynomial,149.79282474109638,0.14227434609704523,0.12343404736075839,3.8294271964761037
resFEp,Temperature,Linear,149.07052511048906,0.01985835291922068,0.564995429506669,3.1071275658687796
resFEp,Temperature,Polynomial,151.7489336412073,0.04926307190649271,0.4918809857492945,5.785536096587009
resFEp,pH,Linear,148.76544397144104,0.0354707128440464,0.4400215571032209,2.802046426820766
resFEp,pH,Polynomial,148.4420886140582,0.201134239268891,0.08727536243514951,2.4786910694379287
resFEp,Phosphate,Linear,148.66135825209352,0.04074014641808381,0.40729747548830764,2.697960707473243
resFEp,Phosphate,Polynomial,145.96339754462028,0.29884042666128724,0.027411400658533595,0
resFEp,Silicate,Linear,148.5605666051202,0.04581537715227279,0.37890095463371676,2.5971690604999083
resFEp,Silicate,Polynomial,150.77763478031196,0.09664428198584367,0.3568220729132472,4.814237235691678
resFEp,Nitrate+Nitrite,Linear,149.39116470857311,0.003177353100057703,0.8187107047046602,3.4277671639528364
resFEp,Nitrate+Nitrite,Polynomial,146.26064921500347,0.2877846506713017,0.02234936166148786,0.29725167038319
resFEp,Complexity,Linear,148.5654753074513,0.04556882908006461,0.3802173825195997,2.6020777628310157
resFEp,Complexity,Polynomial,149.29632485217218,0.16439774815752056,0.15093972743704923,3.3329273075518984
resVol,Salinity,Linear,167.78063867923302,0.003044765687366205,0.8224749327857904,4.840727074077108
resVol,Salinity,Polynomial,166.4190929593538,0.21818589406521502,0.05210831874119661,3.479181354197891
resVol,Temperature,Linear,167.8065875905221,0.0016822616526965348,0.8675951361672939,4.866675985366186
resVol,Temperature,Polynomial,170.69054376286934,0.021099310846275896,0.5810030671662607,7.750632157713426
resVol,pH,Linear,167.8351727936658,1.791778135232901e-4,0.9566260367077404,4.895261188509892
resVol,pH,Polynomial,170.0730856469481,0.05240006783299061,0.36168665867546756,7.133174041792188
resVol,Phosphate,Linear,167.2287464396506,0.03158674878534565,0.46665915703381444,4.288834834494679
resVol,Phosphate,Polynomial,162.9399116051559,0.3490048526881431,0.013025326809355217,0
resVol,Silicate,Linear,167.69874371279332,0.007332655740970772,0.7274213795669686,4.758832107637403
resVol,Silicate,Polynomial,170.12595531277734,0.04975959099371658,0.41045583998535307,7.1860437076214225
resVol,Nitrate+Nitrite,Linear,167.76673447953846,0.003774070626588296,0.8027124351602003,4.826822874382543
resVol,Nitrate+Nitrite,Polynomial,165.0956182241096,0.2707909664153369,0.02776238137838131,2.1557066189536727
resVol,Complexity,Linear,167.73766891017266,0.005296898904285283,0.7671572737558474,4.797757305016745
resVol,Complexity,Polynomial,169.41530225893808,0.0846447673068612,0.2561394831212923,6.475390653782171
